content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado
muy lenta,3,0,lenta,lenta,lento
es muy buena,5,0,buena,buena,buen
Buena aplicación me gusta,5,0,buena aplicación gusta,buena aplicacion gusta,buen aplicacion gusta
muy lento para aser tranferencia,2,0,lento aser tranferencia,lento hacer tranferencia,lento hacer tranferencia
esta bien,5,0,bien,bien,bien
super rápido,5,0,super rápido,super rapido,super rapido
me gustó este aplicación es lo mejor,5,0,gustó aplicación mejor,gusto aplicacion mejor,gusto aplicacion mejor
muy lenta,1,0,lenta,lenta,lento
exelente,5,0,exelente,excelente,excelente
excelente,4,0,excelente,excelente,excelente
si sistema no sirve muchas fallas,1,0,si sistema sirve muchas fallas,si sistema sirve muchas fallas,si sistema servir mucho falla
No funciona para tablets.. Para nada tanto registro la app se cierra ni bien se abre.. Cuando lo arreglen les doy 3 eatrellas y 5 si esta bien optimizado,1,0,funciona tablets registro app cierra bien abre arreglen doy eatrellas si bien optimizado,funciona tablets registro app cierra bien abre arreglen doy eatrellas si bien optimizado,funcionar tablet registro app cerrar bien abrir arreglir dar eatrel él si bien optimizado
bien util la app,3,0,bien util app,bien util app,bien util app
hola nesecito ayuda de la aplicación por cambiar plataforma,3,0,hola nesecito ayuda aplicación cambiar plataforma,hola nesecito ayuda aplicacion cambiar plataforma,hola nesecito ayuda aplicacion cambiar plataforma
Excelente,5,0,excelente,excelente,excelente
tiene algunos defectos con el internet,1,0,defectos internet,defectos internet,defecto internet
"cuando intentas entrar en otro celular con el número y la contraseña no deja entrar dice contraseña o número incorrecto, malísima",1,0,intentas entrar celular número contraseña deja entrar dice contraseña número incorrecto malísima,intentas entrar celular numero contrasena deja entrar dice contrasena numero incorrecto malisima,intenta entrar celular numero contrasena dejar entrar decir contrasena numero incorrecto malisimo
muy buena aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion
Una reverenda macana no sirve para hacer nada ni para recargar crédito,1,0,reverenda macana sirve hacer recargar crédito,reverenda macana sirve hacer recargar credito,reverenda macán servir hacer recargar credito
muy fácil,5,0,fácil,facil,facil
"En la sección de movimentos, los ingresos del día no se suman. se quedan en 0.00 bs. requiere corregir la app",3,1,sección movimentos ingresos día suman quedan bs requiere corregir app,seccion movimentos ingresos dia suman quedan bs requiere corregir app,seccion movimento ingreso diar sumar quedar b requerir corregir app
por qué me aparece usuario bloqueado??,1,0,aparece usuario bloqueado,aparece usuario bloqueado,aparecer usuario bloqueado
Es mejor,5,0,mejor,mejor,mejor
bvytttt v b. b. b. yt t. rvvv. b b. tbtbb. b b y.bb. yb. vv y. i bb bb. vbby. bb v bbbbb byyykbbvvbbbbvbbv tbbbtbby6. rvrvr. f efefe e. vvvvvv. vvvvvf. vgvv. vvv vvv. vvvvvv de c e vegvf. vvcc e refcer efeffff e f ff ff. fffff f f fff f. fef f ef ffe e eef ee. eee e eefee ee eefge. t tv de la huhuhhhvv. n vv. bvbvbbb. rr b,4,0,bvytttt v b b b yt t rvvv b b tbtbb b b ybb yb vv i bb bb vbby bb v bbbbb byyykbbvvbbbbvbbv tbbbtbby rvrvr f efefe vvvvvv vvvvvf vgvv vvv vvv vvvvvv c vegvf vvcc refcer efeffff f ff ff fffff f f fff f fef f ef ffe eef ee eee eefee ee eefge t tv huhuhhhvv n vv bvbvbbb rr b,bvytttt v b b b yt t rvvv b b tbtbb b b ybb yb vv i bb bb vbby bb v bbbbb byyykbbvvbbbbvbbv tbbbtbby rvrvr f efefe vvvvvv vvvvvf vgvv vvv vvv vvvvvv c vegvf vvcc refcer efeffff f ff ff fffff f f fff f fef f ef ffe eef ee eee eefee ee eefge t tv huhuhhhvv n vv bvbvbbb rr b,bvytttt v b b b yt t rvvv b b tbtbb b b ybb yb vv i bb bb vbby bb v bbbbb byyykbbvvbbbbvbbv tbbbtbby rvrvr f efefir vvvvvv vvvvvf vgvv vvv vvv vvvvvv c vegvf vvcc refcer efeffff f ff ff fffff f f fff f fef f ef ffe eef ee eee eefee ee eefge t tv huhuhhhvv n vv bvbvbbb rr b
buena,2,0,buena,buena,buen
"Malisima! Me pasó que tenía 1.500bs allí, y cuando entro para hacer una transferencia me salía cero, CEROO!!! Me asusté horrible y estuvo así por varios días, en cero, y después de varios días intentando por fin salieron los dígitos de mi dinero, en seguida lo envié a otra cuenta y eliminé la App. podrían arreglar eso, porque en serio no sé qué pasó y yo me asusté, no creo que la App sea tan segura.",1,11,malisima pasó bs allí entro hacer transferencia salía cero ceroo asusté horrible así varios días cero después varios días intentando fin salieron dígitos dinero seguida envié cuenta eliminé app podrían arreglar serio sé pasó asusté creo app tan segura,malisima paso bs alli entro hacer transferencia salia cero ceroo asuste horrible asi varios dias cero despues varios dias intentando fin salieron digitos dinero seguida envie cuenta elimine app podrian arreglar serio se paso asuste creo app tan segura,malisimo paso bs alli entro hacer transferencia salio cero ceroo asuste horrible asi varios dia cero despues varios dia intentar fin salir digito dinero seguidir envie contar elimine app podriar arreglar serio él paso asuste creer app tanto seguro
"cuando cargas crédito o compras megas te roba, no llega el crédito y cuando llamas a soporte te dice que el pago se efectuó y que Tigo es el problema. pero es la única app que hace esto las demás funcionan normal",1,0,cargas crédito compras megas roba llega crédito llamas soporte dice pago efectuó tigo problema única app hace demás funcionan normal,cargas credito compras megas roba llega credito llamas soporte dice pago efectuo tigo problema unica app hace demas funcionan normal,carga credito compra mega robar llegar credito llama soporte decir pago efectuo tigo problema unico app hacer demas funcionar normal
