content,score,thumbsUpCount,comentario_limpio,comentario_limpio_corregido,comentario_lemmatizado,tokens
muy lenta,3,0,lenta,lenta,lento,['lento']
es muy buena,5,0,buena,buena,buen,['buen']
Buena aplicación me gusta,5,0,buena aplicación gusta,buena aplicacion gusta,buen aplicacion gusta,"['buen', 'aplicacion', 'gusta']"
muy lento para aser tranferencia,2,0,lento aser tranferencia,lento hacer tranferencia,lento hacer tranferencia,"['lento', 'hacer', 'tranferencia']"
esta bien,5,0,bien,bien,bien,['bien']
super rápido,5,0,super rápido,super rapido,super rapido,"['super', 'rapido']"
me gustó este aplicación es lo mejor,5,0,gustó aplicación mejor,gusto aplicacion mejor,gusto aplicacion mejor,"['gusto', 'aplicacion', 'mejor']"
muy lenta,1,0,lenta,lenta,lento,['lento']
exelente,5,0,exelente,excelente,excelente,['excelente']
excelente,4,0,excelente,excelente,excelente,['excelente']
si sistema no sirve muchas fallas,1,0,si sistema sirve muchas fallas,si sistema sirve muchas fallas,sistema servir mucho falla,"['sistema', 'servir', 'mucho', 'falla']"
No funciona para tablets.. Para nada tanto registro la app se cierra ni bien se abre.. Cuando lo arreglen les doy 3 eatrellas y 5 si esta bien optimizado,1,0,funciona tablets registro app cierra bien abre arreglen doy eatrellas si bien optimizado,funciona tablets registro app cierra bien abre arreglen doy eatrellas si bien optimizado,funcionar tablet registro app cerrar bien abrir arreglir dar eatrella bien optimizado,"['funcionar', 'tablet', 'registro', 'app', 'cerrar', 'bien', 'abrir', 'arreglir', 'dar', 'eatrella', 'bien', 'optimizado']"
bien util la app,3,0,bien util app,bien util app,bien util app,"['bien', 'util', 'app']"
hola nesecito ayuda de la aplicación por cambiar plataforma,3,0,hola nesecito ayuda aplicación cambiar plataforma,hola nesecito ayuda aplicacion cambiar plataforma,hola nesecito ayuda aplicacion cambiar plataforma,"['hola', 'nesecito', 'ayuda', 'aplicacion', 'cambiar', 'plataforma']"
Excelente,5,0,excelente,excelente,excelente,['excelente']
tiene algunos defectos con el internet,1,0,defectos internet,defectos internet,defecto internet,"['defecto', 'internet']"
"cuando intentas entrar en otro celular con el número y la contraseña no deja entrar dice contraseña o número incorrecto, malísima",1,0,intentas entrar celular número contraseña deja entrar dice contraseña número incorrecto malísima,intentas entrar celular numero contrasena deja entrar dice contrasena numero incorrecto malisima,intenta entrar celular numero contrasena dejar entrar decir contrasena numero incorrecto malisimo,"['intenta', 'entrar', 'celular', 'numero', 'contrasena', 'dejar', 'entrar', 'decir', 'contrasena', 'numero', 'incorrecto', 'malisimo']"
muy buena aplicación,5,0,buena aplicación,buena aplicacion,buen aplicacion,"['buen', 'aplicacion']"
